countries,2022-2023(Apr-Dec),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
BOTSWANA,0.02,0.04,0.06,0.14,0.16,0.12,0.13,0.3,0.13,0.15,0.08,0.14,0.04,0.06,0.02,0.05,0.03,0.03,0.01,0.0,,0.01,0.0,0.05,0.0,
BRAZIL,0.07,0.06,0.04,0.04,0.02,0.06,0.02,0.01,0.01,0.0,0.51,0.0,0.2,0.02,0.14,0.0,0.02,0.01,0.04,,0.01,0.02,0.02,0.0,0.0,0.04
BR VIRGN IS,0.0,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,
BRUNEI,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.04,,0.0,0.02,0.0,0.0,,0.01,0.01,0.01,0.01,0.0,,0.0,0.01
BULGARIA,0.0,0.01,0.0,0.01,0.02,0.02,0.05,0.04,0.04,0.02,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.11,0.01,0.06,0.04,0.0,,
BURKINA FASO,0.0,0.0,0.01,0.16,0.16,0.06,0.13,0.01,0.0,,,,0.0,0.01,,0.01,0.03,,0.02,0.0,,,,,,
BELARUS,0.03,0.04,0.04,0.03,0.04,,0.0,0.04,0.08,0.14,0.24,0.02,0.02,0.01,0.07,0.2,0.17,0.17,0.02,,,,,,,
FIJI IS,0.53,0.61,0.5,0.46,0.59,0.55,0.39,0.4,0.34,0.27,0.36,0.34,0.24,0.22,0.21,0.16,0.15,0.17,0.17,0.15,0.18,0.11,0.11,0.3,0.2,0.0
FINLAND,0.04,0.03,0.02,0.02,0.02,0.03,0.03,0.18,0.03,0.03,0.18,0.43,0.45,0.0,0.08,0.03,0.0,0.02,0.02,,,,,0.03,,
FR GUIANA,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,,,,0.02,,,,,
JAMAICA,0.0,0.02,0.0,0.01,0.0,,0.03,0.02,,,0.0,0.01,0.03,0.01,0.01,0.04,0.0,0.02,0.07,0.06,0.01,0.0,,0.01,,
JAPAN,0.09,0.34,0.35,0.44,0.1,0.09,0.15,0.15,0.13,0.18,0.21,0.59,0.56,0.05,0.05,0.11,0.03,0.05,0.04,0.15,0.04,0.12,0.02,0.12,0.12,0.05
JORDAN,0.17,0.06,0.05,0.02,0.04,0.04,0.07,0.12,0.3,0.43,0.59,0.44,0.75,0.4,1.12,0.21,0.05,0.02,0.02,0.09,0.1,0.18,0.05,0.04,0.0,0.06
KAZAKHSTAN,0.2,0.31,0.21,0.19,0.09,0.07,0.05,0.03,0.09,0.27,0.14,0.14,0.19,0.08,0.1,0.02,0.04,0.25,0.08,0.24,,0.0,0.01,0.03,,0.0
